Code,Region,Name,Type 1 Departments 0 Major A&E,Type 2 Departments 0 Single Specialty,Type 3 Departments 0 Other A&E/Minor Injury Unit,Total attendances,Type 1 Departments 0 Major A&E,Type 2 Departments 0 Single Specialty,Type 3 Departments 0 Other A&E/Minor Injury Unit,Total Attendances < 4 hours,Type 1 Departments 0 Major A&E,Type 2 Departments 0 Single Specialty,Type 3 Departments 0 Other A&E/Minor Injury Unit,Total Attendances > 4 hours,Percentage in 4 hours or less (all),Percentage in 4 hours or less (type 1),Percentage in 4 hours or less (type 2),Percentage in 4 hours or less (type 3),Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency admissions (i.e not via A&E),Total Emergency Admissions,Number of patients spending >4 hours from decision to admit to admission,Number of patients spending >12 hours from decision to admit to admission
RC9,NHS England East Of England ,Bedfordshire Hospitals NHS Foundation Trust,16149,0,8810,24959,9523,0,8810,18333,6626,0,0,6626,73.5,59.0,0.0,100.0,4633,0,0,4633,2022,6655,84,4
RGT,NHS England East Of England ,Cambridge University Hospitals NHS Foundation Trust,10413,0,5966,16379,6223,0,5865,12088,4190,0,101,4291,73.8,59.8,0.0,98.3,2766,0,33,2799,476,3275,740,242
RWH,NHS England East Of England ,East And North Hertfordshire NHS Trust,8664,0,8441,17105,4101,0,8409,12510,4563,0,32,4595,73.1,47.3,0.0,99.6,2793,0,7,2800,246,3046,243,116
RDE,NHS England East Of England ,East Suffolk And North Essex NHS Foundation Trust,12537,0,14243,26780,7084,0,13914,20998,5453,0,329,5782,78.4,56.5,0.0,97.7,6146,0,418,6564,1074,7638,1728,589
RY4,NHS England East Of England ,Hertfordshire Community NHS Trust,0,0,1182,1182,0,0,1145,1145,0,0,37,37,96.9,0.0,0.0,96.9,0,0,0,0,0,0,0,0
DT301,NHS England East Of England ,Herts Urgent Care (Ascots Lane),0,0,2137,2137,0,0,2054,2054,0,0,83,83,96.1,0.0,0.0,96.1,0,0,0,0,0,0,0,0
RGP,NHS England East Of England ,James Paget University Hospitals NHS Foundation Trust,7431,0,1387,8818,4187,0,1387,5574,3244,0,0,3244,63.2,56.3,0.0,100.0,1655,0,0,1655,429,2084,959,344
RAJ,NHS England East Of England ,Mid And South Essex NHS Foundation Trust,29697,0,3815,33512,18799,0,3634,22433,10898,0,181,11079,66.9,63.3,0.0,95.3,7645,0,101,7746,1297,9043,3171,640
RD8,NHS England East Of England ,Milton Keynes University Hospital NHS Foundation Trust,8537,0,5158,13695,5907,0,5087,10994,2630,0,71,2701,80.3,69.2,0.0,98.6,2274,0,0,2274,475,2749,478,0
RM1,NHS England East Of England ,Norfolk And Norwich University Hospitals NHS Foundation Trust,12259,0,8063,20322,8241,0,8058,16299,4018,0,5,4023,80.2,67.2,0.0,99.9,2516,0,0,2516,1559,4075,1240,246
RGN,NHS England East Of England ,North West Anglia NHS Foundation Trust,14512,0,4655,19167,8614,0,4562,13176,5898,0,93,5991,68.7,59.4,0.0,98.0,3434,0,25,3459,1474,4933,1343,767
Y02428,NHS England East Of England ,Putnoe Walk In Centre,0,0,2729,2729,0,0,2729,2729,0,0,0,0,100.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0
RQW,NHS England East Of England ,The Princess Alexandra Hospital NHS Trust,7467,0,2558,10025,4273,0,2558,6831,3194,0,0,3194,68.1,57.2,0.0,100.0,1752,0,0,1752,296,2048,466,87
RCX,NHS England East Of England ,"The Queen Elizabeth Hospital, King's Lynn, NHS Foundation Trust",6646,0,1170,7816,3625,0,1170,4795,3021,0,0,3021,61.3,54.5,0.0,100.0,965,0,0,965,146,1111,883,111
RWG,NHS England East Of England ,West Hertfordshire Teaching Hospitals NHS Trust,8283,0,7920,16203,5761,0,7905,13666,2522,0,15,2537,84.3,69.6,0.0,99.8,4306,0,0,4306,541,4847,729,30
RGR,NHS England East Of England ,West Suffolk NHS Foundation Trust,7694,0,724,8418,6124,0,724,6848,1570,0,0,1570,81.3,79.6,0.0,100.0,1961,0,0,1961,281,2242,403,118
G0Q0L,NHS England London,Barking Hospital Utc,0,0,2768,2768,0,0,2755,2755,0,0,13,13,99.5,0.0,0.0,99.5,0,0,0,0,0,0,0,0
RF4,NHS England London,"Barking, Havering And Redbridge University Hospitals NHS Trust",13402,2255,14066,29723,7503,1958,13869,23330,5899,297,197,6393,78.5,56.0,86.8,98.6,8133,0,0,8133,407,8540,1508,795
R1H,NHS England London,Barts Health NHS Trust,25265,882,18255,44402,13597,848,16646,31091,11668,34,1609,13311,70.0,53.8,96.1,91.2,4382,1,38,4421,1213,5634,2363,1148
AD913,NHS England London,Beckenham Beacon Ucc,0,0,4000,4000,0,0,3951,3951,0,0,49,49,98.8,0.0,0.0,98.8,0,0,0,0,0,0,0,0
RYX,NHS England London,Central London Community Healthcare NHS Trust,0,0,12931,12931,0,0,12540,12540,0,0,391,391,97.0,0.0,0.0,97.0,0,0,0,0,0,0,0,0
RQM,NHS England London,Chelsea And Westminster Hospital NHS Foundation Trust,19505,0,6084,25589,14927,0,6009,20936,4578,0,75,4653,81.8,76.5,0.0,98.8,2771,0,0,2771,286,3057,621,49
RJ6,NHS England London,Croydon Health Services NHS Trust,12685,0,4850,17535,9025,0,4850,13875,3660,0,0,3660,79.1,71.1,0.0,100.0,1177,0,0,1177,109,1286,833,538
RVR,NHS England London,Epsom And St Helier University Hospitals NHS Trust,11199,284,1605,13088,7907,284,1479,9670,3292,0,126,3418,73.9,70.6,100.0,92.1,1870,2,0,1872,150,2022,966,700
RJ1,NHS England London,Guy's And St Thomas' NHS Foundation Trust,9921,711,6810,17442,6177,671,6628,13476,3744,40,182,3966,77.3,62.3,94.4,97.3,2054,0,0,2054,247,2301,162,64
K6K0R,NHS England London,Harold Wood Polyclinic Utc,0,0,2491,2491,0,0,2481,2481,0,0,10,10,99.6,0.0,0.0,99.6,0,0,0,0,0,0,0,0
RQX,NHS England London,Homerton Healthcare NHS Foundation Trust,10777,0,0,10777,8837,0,0,8837,1940,0,0,1940,82.0,82.0,0.0,0.0,1725,0,0,1725,331,2056,222,24
RYJ,NHS England London,Imperial College Healthcare NHS Trust,11832,4034,7283,23149,6786,3989,6629,17404,5046,45,654,5745,75.2,57.4,98.9,91.0,3635,1,0,3636,1130,4766,1070,390
RJZ,NHS England London,King's College Hospital NHS Foundation Trust,15329,0,10298,25627,8897,0,9834,18731,6432,0,464,6896,73.1,58.0,0.0,95.5,3660,0,0,3660,318,3978,2276,583
RAX,NHS England London,Kingston And Richmond NHS Foundation Trust,6646,0,8505,15151,3295,0,8248,11543,3351,0,257,3608,76.2,49.6,0.0,97.0,2136,0,258,2394,531,2925,639,504
RJ2,NHS England London,Lewisham And Greenwich NHS Trust,15481,0,9128,24609,7246,0,8863,16109,8235,0,265,8500,65.5,46.8,0.0,97.1,4395,0,0,4395,701,5096,2057,778
R1K,NHS England London,London North West University Healthcare NHS Trust,13592,0,14950,28542,7125,0,14755,21880,6467,0,195,6662,76.7,52.4,0.0,98.7,6511,0,0,6511,354,6865,1051,385
RP6,NHS England London,Moorfields Eye Hospital NHS Foundation Trust,0,5987,0,5987,0,5814,0,5814,0,173,0,173,97.1,0.0,97.1,0.0,0,6,0,6,240,246,0,0
RAT,NHS England London,North East London NHS Foundation Trust,0,0,1730,1730,0,0,1667,1667,0,0,63,63,96.4,0.0,0.0,96.4,0,0,0,0,0,0,0,0
RAL,NHS England London,Royal Free London NHS Foundation Trust,24816,510,16137,41463,15031,498,15109,30638,9785,12,1028,10825,73.9,60.6,97.6,93.6,4823,0,49,4872,751,5623,2984,1792
RAN,NHS England London,Royal National Orthopaedic Hospital NHS Trust,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,28,28,0,0
RJ7,NHS England London,St George's University Hospitals NHS Foundation Trust,9076,0,3443,12519,7037,0,3443,10480,2039,0,0,2039,83.7,77.5,0.0,100.0,2673,0,0,2673,981,3654,1231,834
RAS,NHS England London,The Hillingdon Hospitals NHS Foundation Trust,5926,0,6844,12770,2752,0,6795,9547,3174,0,49,3223,74.8,46.4,0.0,99.3,1786,0,0,1786,53,1839,661,78
Y03218,NHS England London,The Pinn Unregistered Wic,0,0,889,889,0,0,889,889,0,0,0,0,100.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0
RRV,NHS England London,University College London Hospitals NHS Foundation Trust,13426,0,0,13426,9597,0,0,9597,3829,0,0,3829,71.5,71.5,0.0,0.0,1377,0,0,1377,292,1669,553,126
Y02147,NHS England London,Urgent Care Centre (Qms),0,0,8177,8177,0,0,8044,8044,0,0,133,133,98.4,0.0,0.0,98.4,0,0,0,0,0,0,0,0
RKE,NHS England London,Whittington Health NHS Trust,8831,0,0,8831,6212,0,0,6212,2619,0,0,2619,70.3,70.3,0.0,0.0,1308,0,0,1308,44,1352,465,222
NL7,NHS England Midlands ,Assura Vertis Urgent Care Centres (Birmingham),0,0,3148,3148,0,0,3148,3148,0,0,0,0,100.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0
8J094,NHS England Midlands ,Badger Ltd,0,0,1409,1409,0,0,1409,1409,0,0,0,0,100.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0
RQ3,NHS England Midlands ,Birmingham Women's And Children's NHS Foundation Trust,4837,0,0,4837,4358,0,0,4358,479,0,0,479,90.1,90.1,0.0,0.0,1033,0,0,1033,183,1216,2,1
RFS,NHS England Midlands ,Chesterfield Royal Hospital NHS Foundation Trust,6966,0,6527,13493,3434,0,6129,9563,3532,0,398,3930,70.9,49.3,0.0,93.9,2309,0,106,2415,294,2709,1012,139
RYG,NHS England Midlands ,Coventry And Warwickshire Partnership NHS Trust,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,5,5,78,83,0,0
RY8,NHS England Midlands ,Derbyshire Community Health Services NHS Foundation Trust,0,0,9729,9729,0,0,9554,9554,0,0,175,175,98.2,0.0,0.0,98.2,0,0,0,0,0,0,0,0
NNJ,NHS England Midlands ,Dhu Health Care C.I.C,0,0,1994,1994,0,0,1994,1994,0,0,0,0,100.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0
Y03007,NHS England Midlands ,Erdington GP Health & Wellbeing Wic,0,0,2022,2022,0,0,2022,2022,0,0,0,0,100.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0
RLT,NHS England Midlands ,George Eliot Hospital NHS Trust,6867,0,1611,8478,4555,0,1588,6143,2312,0,23,2335,72.5,66.3,0.0,98.6,1074,0,0,1074,0,1074,708,307
RNQ,NHS England Midlands ,Kettering General Hospital NHS Foundation Trust,10104,0,8433,18537,6351,0,8308,14659,3753,0,125,3878,79.1,62.9,0.0,98.5,1940,0,0,1940,237,2177,1377,815
C82038,NHS England Midlands ,Latham House Medical Practice,0,0,338,338,0,0,338,338,0,0,0,0,100.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0
RY5,NHS England Midlands ,Lincolnshire Community Health Services NHS Trust,0,0,8540,8540,0,0,8353,8353,0,0,187,187,97.8,0.0,0.0,97.8,0,0,0,0,0,0,0,0
NNJ0H,NHS England Midlands ,Llr Ea 0 The Merlyn Vaz Health & Social Care Centre,0,0,2373,2373,0,0,2372,2372,0,0,1,1,100.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0
NNJ07,NHS England Midlands ,Loughborough Urgent Care Centre,0,0,7638,7638,0,0,7613,7613,0,0,25,25,99.7,0.0,0.0,99.7,0,0,0,0,0,0,0,0
NNJ12,NHS England Midlands ,Market Harborough,0,0,566,566,0,0,566,566,0,0,0,0,100.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0
C82009,NHS England Midlands ,Market Harborough Med.Ctr,0,0,266,266,0,0,266,266,0,0,0,0,100.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0
NNJ13,NHS England Midlands ,Melton Mowbray,0,0,464,464,0,0,464,464,0,0,0,0,100.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0
A5D4Q,NHS England Midlands ,Nems Utc,0,0,3399,3399,0,0,2622,2622,0,0,777,777,77.1,0.0,0.0,77.1,0,0,0,0,0,0,0,0
RNS,NHS England Midlands ,Northampton General Hospital NHS Trust,9964,536,2168,12668,5753,527,2080,8360,4211,9,88,4308,66.0,57.7,98.3,95.9,2353,0,0,2353,856,3209,1379,667
NR3,NHS England Midlands ,Nottingham Citycare Partnership,0,0,5251,5251,0,0,4669,4669,0,0,582,582,88.9,0.0,0.0,88.9,0,0,0,0,0,0,0,0
RX1,NHS England Midlands ,Nottingham University Hospitals NHS Trust,12371,1736,542,14649,5880,1614,419,7913,6491,122,123,6736,54.0,47.5,93.0,77.3,4459,61,0,4520,4100,8620,835,581
NNJ14,NHS England Midlands ,Oadby,0,0,2806,2806,0,0,2806,2806,0,0,0,0,100.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0
NNJ15,NHS England Midlands ,Oakham,0,0,460,460,0,0,460,460,0,0,0,0,100.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0
RXK,NHS England Midlands ,Sandwell And West Birmingham Hospitals NHS Trust,11226,1175,8329,20730,6572,1002,8183,15757,4654,173,146,4973,76.0,58.5,85.3,98.2,2543,0,0,2543,520,3063,1078,270
RK5,NHS England Midlands ,Sherwood Forest Hospitals NHS Foundation Trust,10685,0,5867,16552,7238,0,5559,12797,3447,0,308,3755,77.3,67.7,0.0,94.8,3523,0,0,3523,226,3749,581,105
R1D,NHS England Midlands ,Shropshire Community Health NHS Trust,0,0,3041,3041,0,0,3036,3036,0,0,5,5,99.8,0.0,0.0,99.8,0,0,0,0,0,0,0,0
C83023,NHS England Midlands ,Sleaford Medical Group,0,0,480,480,0,0,480,480,0,0,0,0,100.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0
Y02615,NHS England Midlands ,South Birmingham GP Walk In Centre,0,0,6628,6628,0,0,6628,6628,0,0,0,0,100.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0
RJC,NHS England Midlands ,South Warwickshire University NHS Foundation Trust,7825,0,441,8266,5554,0,441,5995,2271,0,0,2271,72.5,71.0,0.0,100.0,2205,0,0,2205,876,3081,432,35
NQTE4,NHS England Midlands ,Summerfield Urgent Care Centre,0,0,3055,3055,0,0,3055,3055,0,0,0,0,100.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0
RNA,NHS England Midlands ,The Dudley Group NHS Foundation Trust,9578,0,4754,14332,6216,0,4634,10850,3362,0,120,3482,75.7,64.9,0.0,97.5,3450,0,0,3450,2477,5927,2066,145
RL1,NHS England Midlands ,The Robert Jones And Agnes Hunt Orthopaedic Hospital NHS Foundation Trust,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,22,22,0,0
