Code,Region,Name,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total attendances,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances < 4 hours,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances > 4 hours,Percentage in 4 hours or less (all),Percentage in 4 hours or less (type 1),Percentage in 4 hours or less (type 2),Percentage in 4 hours or less (type 3),Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency admissions (i.e not via A&E),Total Emergency Admissions,Number of patients spending >4 hours from decision to admit to admission,Number of patients spending >12 hours from decision to admit to admission
RC9,NHS England East Of England ,Bedfordshire Hospitals NHS Foundation Trust,"16,039",0,"8,455","24,494","10,143",0,"8,455","18,598","5,896",0,0,"5,896",75.90%,63.20%,-,100.00%,"4,552",0,0,"4,552","2,129","6,681",85,3
RGT,NHS England East Of England ,Cambridge University Hospitals NHS Foundation Trust,"10,471",0,"5,732","16,203","6,370",0,"5,678","12,048","4,101",0,54,"4,155",74.40%,60.80%,-,99.10%,"2,881",0,44,"2,925",486,"3,411",846,309
RWH,NHS England East Of England ,East And North Hertfordshire NHS Trust,"8,370",0,"8,102","16,472","4,761",0,"8,060","12,821","3,609",0,42,"3,651",77.80%,56.90%,-,99.50%,"2,424",0,1,"2,425",202,"2,627",215,23
RDE,NHS England East Of England ,East Suffolk And North Essex NHS Foundation Trust,"12,119",0,"13,482","25,601","6,211",0,"12,980","19,191","5,908",0,502,"6,410",75.00%,51.30%,-,96.30%,"6,085",0,308,"6,393",869,"7,262","1,242",356
RY4,NHS England East Of England ,Hertfordshire Community NHS Trust,0,0,"1,061","1,061",0,0,"1,042","1,042",0,0,19,19,98.20%,-,-,98.20%,0,0,0,0,0,0,0,0
DT301,NHS England East Of England ,Herts Urgent Care (Ascots Lane),0,0,"2,050","2,050",0,0,"1,952","1,952",0,0,98,98,95.20%,-,-,95.20%,0,0,0,0,0,0,0,0
RGP,NHS England East Of England ,James Paget University Hospitals NHS Foundation Trust,"7,618",0,"1,350","8,968","4,593",0,"1,350","5,943","3,025",0,0,"3,025",66.30%,60.30%,-,100.00%,"1,527",0,0,"1,527",465,"1,992",751,230
RAJ,NHS England East Of England ,Mid And South Essex NHS Foundation Trust,"28,882",0,"4,091","32,973","20,967",0,"3,985","24,952","7,915",0,106,"8,021",75.70%,72.60%,-,97.40%,"8,499",0,178,"8,677","1,254","9,931","2,246",303
RD8,NHS England East Of England ,Milton Keynes University Hospital NHS Foundation Trust,"8,579",0,"4,976","13,555","4,871",0,"4,968","9,839","3,708",0,8,"3,716",72.60%,56.80%,-,99.80%,"2,183",0,0,"2,183",385,"2,568",639,0
RM1,NHS England East Of England ,Norfolk And Norwich University Hospitals NHS Foundation Trust,"12,652",0,"8,082","20,734","8,822",0,"8,080","16,902","3,830",0,2,"3,832",81.50%,69.70%,-,100.00%,"2,451",0,0,"2,451","1,544","3,995",895,162
RGN,NHS England East Of England ,North West Anglia NHS Foundation Trust,"14,388",0,"5,062","19,450","8,767",0,"4,872","13,639","5,621",0,190,"5,811",70.10%,60.90%,-,96.20%,"3,385",0,37,"3,422","1,094","4,516","1,200",601
Y02428,NHS England East Of England ,Putnoe Walk In Centre,0,0,"2,334","2,334",0,0,"2,334","2,334",0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
RQW,NHS England East Of England ,The Princess Alexandra Hospital NHS Trust,"7,952",0,"2,288","10,240","5,396",0,"2,288","7,684","2,556",0,0,"2,556",75.00%,67.90%,-,100.00%,"1,908",0,0,"1,908",237,"2,145",679,195
RCX,NHS England East Of England ,"The Queen Elizabeth Hospital, King's Lynn, NHS Foundation Trust","6,802",0,"1,151","7,953","3,557",0,"1,151","4,708","3,245",0,0,"3,245",59.20%,52.30%,-,100.00%,"1,882",0,0,"1,882",282,"2,164",826,124
RWG,NHS England East Of England ,West Hertfordshire Teaching Hospitals NHS Trust,"7,834",0,"7,887","15,721","5,419",0,"7,840","13,259","2,415",0,47,"2,462",84.30%,69.20%,-,99.40%,"3,878",0,0,"3,878",541,"4,419",618,27
RGR,NHS England East Of England ,West Suffolk NHS Foundation Trust,"7,909",0,649,"8,558","5,678",0,649,"6,327","2,231",0,0,"2,231",73.90%,71.80%,-,100.00%,"2,078",0,0,"2,078",245,"2,323",637,199
G0Q0L,NHS England London,Barking Hospital Utc,0,0,"2,709","2,709",0,0,"2,699","2,699",0,0,10,10,99.60%,-,-,99.60%,0,0,0,0,0,0,0,0
RF4,NHS England London,"Barking, Havering And Redbridge University Hospitals NHS Trust","12,899","2,312","12,956","28,167","7,348","1,955","12,865","22,168","5,551",357,91,"5,999",78.70%,57.00%,84.60%,99.30%,"7,895",0,0,"7,895",330,"8,225","1,290",677
R1H,NHS England London,Barts Health NHS Trust,"24,190",971,"17,263","42,424","13,592",866,"16,088","30,546","10,598",105,"1,175","11,878",72.00%,56.20%,89.20%,93.20%,"3,830",3,37,"3,870","1,245","5,115","2,033",799
AD913,NHS England London,Beckenham Beacon Ucc,0,0,"3,636","3,636",0,0,"3,623","3,623",0,0,13,13,99.60%,-,-,99.60%,0,0,0,0,0,0,0,0
RYX,NHS England London,Central London Community Healthcare NHS Trust,0,0,"12,087","12,087",0,0,"11,953","11,953",0,0,134,134,98.90%,-,-,98.90%,0,0,0,0,0,0,0,0
RQM,NHS England London,Chelsea And Westminster Hospital NHS Foundation Trust,"19,169",0,"5,508","24,677","13,491",0,"5,466","18,957","5,678",0,42,"5,720",76.80%,70.40%,-,99.20%,"2,797",0,0,"2,797",299,"3,096",718,39
