Code,Region,Name,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total attendances,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances < 4 hours,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances > 4 hours,Percentage in 4 hours or less (all),Percentage in 4 hours or less (type 1),Percentage in 4 hours or less (type 2),Percentage in 4 hours or less (type 3),Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency admissions (i.e not via A&E),Total Emergency Admissions,Number of patients spending >4 hours from decision to admit to admission,Number of patients spending >12 hours from decision to admit to admission
RC9,NHS England East Of England ,Bedfordshire Hospitals NHS Foundation Trust,"17,035",0,"10,551","27,586","10,879",0,"10,551","21,430","6,156",0,0,"6,156",77.70%,63.90%,-,100.00%,"5,538",0,0,"5,538","2,444","7,982",121,39
RGT,NHS England East Of England ,Cambridge University Hospitals NHS Foundation Trust,"11,239",0,"5,124","16,363","6,387",0,"5,011","11,398","4,852",0,113,"4,965",69.70%,56.80%,-,97.80%,"2,953",0,37,"2,990",449,"3,439",947,420
RWH,NHS England East Of England ,East And North Hertfordshire Teaching NHS Trust,"9,347",0,"8,313","17,660","4,529",0,"8,206","12,735","4,818",0,107,"4,925",72.10%,48.50%,-,98.70%,"2,380",0,3,"2,383",239,"2,622",752,225
RDE,NHS England East Of England ,East Suffolk And North Essex NHS Foundation Trust,"11,399",0,"13,004","24,403","6,134",0,"12,155","18,289","5,265",0,849,"6,114",74.90%,53.80%,-,93.50%,"5,057",0,0,"5,057",333,"5,390","1,243",433
RY4,NHS England East Of England ,Hertfordshire Community NHS Trust,0,0,"1,033","1,033",0,0,"1,022","1,022",0,0,11,11,98.90%,-,-,98.90%,0,0,0,0,0,0,0,0
DT301,NHS England East Of England ,Herts Urgent Care (Ascots Lane),0,0,"1,857","1,857",0,0,"1,820","1,820",0,0,37,37,98.00%,-,-,98.00%,0,0,0,0,0,0,0,0
RGP,NHS England East Of England ,James Paget University Hospitals NHS Foundation Trust,"7,283",0,"1,328","8,611","4,998",0,"1,328","6,326","2,285",0,0,"2,285",73.50%,68.60%,-,100.00%,"1,499",0,0,"1,499",518,"2,017",842,362
RAJ,NHS England East Of England ,Mid And South Essex NHS Foundation Trust,"27,715",0,"7,576","35,291","16,891",0,"7,386","24,277","10,824",0,190,"11,014",68.80%,60.90%,-,97.50%,"8,686",0,96,"8,782","1,130","9,912","3,130",869
RD8,NHS England East Of England ,Milton Keynes University Hospital NHS Foundation Trust,"8,559",0,"6,050","14,609","5,143",0,"5,888","11,031","3,416",0,162,"3,578",75.50%,60.10%,-,97.30%,"2,229",0,0,"2,229",485,"2,714",604,0
RM1,NHS England East Of England ,Norfolk And Norwich University Hospitals NHS Foundation Trust,"12,638",0,"8,115","20,753","8,681",0,"8,112","16,793","3,957",0,3,"3,960",80.90%,68.70%,-,100.00%,"2,444",0,0,"2,444","1,459","3,903",963,257
RGN,NHS England East Of England ,North West Anglia NHS Foundation Trust,"16,005",0,"4,930","20,935","9,959",0,"4,816","14,775","6,046",0,114,"6,160",70.60%,62.20%,-,97.70%,"3,999",0,40,"4,039","1,419","5,458","1,437",865
Y02428,NHS England East Of England ,Putnoe Walk In Centre,0,0,"3,460","3,460",0,0,"3,460","3,460",0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
RQW,NHS England East Of England ,The Princess Alexandra Hospital NHS Trust,"8,104",0,"3,128","11,232","5,689",0,"3,128","8,817","2,415",0,0,"2,415",78.50%,70.20%,-,100.00%,"1,957",0,0,"1,957",301,"2,258",673,181
RCX,NHS England East Of England ,"The Queen Elizabeth Hospital, King's Lynn, NHS Foundation Trust","6,527",0,"1,335","7,862","3,871",0,"1,335","5,206","2,656",0,0,"2,656",66.20%,59.30%,-,100.00%,"1,911",0,0,"1,911",419,"2,330",957,160
RWG,NHS England East Of England ,West Hertfordshire Teaching Hospitals NHS Trust,"8,832",0,"8,255","17,087","6,255",0,"8,061","14,316","2,577",0,194,"2,771",83.80%,70.80%,-,97.60%,"4,458",0,0,"4,458",704,"5,162",696,27
RGR,NHS England East Of England ,West Suffolk NHS Foundation Trust,"7,922",0,815,"8,737","5,356",0,815,"6,171","2,566",0,0,"2,566",70.60%,67.60%,-,100.00%,"2,021",0,0,"2,021",254,"2,275",822,341
G0Q0L,NHS England London,Barking Hospital Utc,0,0,"2,627","2,627",0,0,"2,603","2,603",0,0,24,24,99.10%,-,-,99.10%,0,0,0,0,0,0,0,0
RF4,NHS England London,"Barking, Havering And Redbridge University Hospitals NHS Trust","13,846","2,271","14,734","30,851","7,101","1,744","14,560","23,405","6,745",527,174,"7,446",75.90%,51.30%,76.80%,98.80%,"3,554",0,0,"3,554","1,658","5,212","1,562",840
R1H,NHS England London,Barts Health NHS Trust,"25,706",773,"18,261","44,740","13,596",755,"16,404","30,755","12,110",18,"1,857","13,985",68.70%,52.90%,97.70%,89.80%,"4,455",1,46,"4,502","1,283","5,785","2,238","1,088"
AD913,NHS England London,Beckenham Beacon Ucc,0,0,"3,618","3,618",0,0,"3,587","3,587",0,0,31,31,99.10%,-,-,99.10%,0,0,0,0,0,0,0,0
RYX,NHS England London,Central London Community Healthcare NHS Trust,0,0,"12,463","12,463",0,0,"12,315","12,315",0,0,148,148,98.80%,-,-,98.80%,0,0,0,0,0,0,0,0
RQM,NHS England London,Chelsea And Westminster Hospital NHS Foundation Trust,"20,618",0,"6,701","27,319","14,935",0,"6,461","21,396","5,683",0,240,"5,923",78.30%,72.40%,-,96.40%,"2,885",0,0,"2,885",332,"3,217",973,51
RJ6,NHS England London,Croydon Health Services NHS Trust,"13,592",0,"5,317","18,909","9,027",0,"5,317","14,344","4,565",0,0,"4,565",75.90%,66.40%,-,100.00%,"1,201",0,0,"1,201",129,"1,330","1,002",691
RVR,NHS England London,Epsom And St Helier University Hospitals NHS Trust,"11,581",0,"1,927","13,508","7,764",0,"1,804","9,568","3,817",0,123,"3,940",70.80%,67.00%,-,93.60%,"2,405",0,0,"2,405",118,"2,523","1,543",821
RJ1,NHS England London,Guy's And St Thomas' NHS Foundation Trust,"10,381",0,"6,502","16,883","6,974",0,"6,367","13,341","3,407",0,135,"3,542",79.00%,67.20%,-,97.90%,"2,044",0,0,"2,044",278,"2,322",189,60
K6K0R,NHS England London,Harold Wood Polyclinic Utc,0,0,"2,897","2,897",0,0,"2,871","2,871",0,0,26,26,99.10%,-,-,99.10%,0,0,0,0,0,0,0,0
RQX,NHS England London,Homerton Healthcare NHS Foundation Trust,"11,082",0,0,"11,082","9,034",0,0,"9,034","2,048",0,0,"2,048",81.50%,81.50%,-,-,"1,819",0,0,"1,819",367,"2,186",251,25
RYJ,NHS England London,Imperial College Healthcare NHS Trust,"12,169","3,255","7,288","22,712","7,111","3,210","6,986","17,307","5,058",45,302,"5,405",76.20%,58.40%,98.60%,95.90%,"3,624",6,0,"3,630","1,112","4,742",621,0
RJZ,NHS England London,King's College Hospital NHS Foundation Trust,"15,769",0,"9,362","25,131","8,990",0,"8,591","17,581","6,779",0,771,"7,550",70.00%,57.00%,-,91.80%,"3,693",0,0,"3,693",374,"4,067","2,037",722
RAX,NHS England London,Kingston And Richmond NHS Foundation Trust,"7,217",0,"8,083","15,300","3,253",0,"7,738","10,991","3,964",0,345,"4,309",71.80%,45.10%,-,95.70%,"2,436",0,289,"2,725",640,"3,365",753,498
RJ2,NHS England London,Lewisham And Greenwich NHS Trust,"16,397",0,"16,897","33,294","8,629",0,"16,556","25,185","7,768",0,341,"8,109",75.60%,52.60%,-,98.00%,"3,938",0,0,"3,938",544,"4,482","1,762",674
R1K,NHS England London,London North West University Healthcare NHS Trust,"13,918",0,"15,544","29,462","6,746",0,"14,678","21,424","7,172",0,866,"8,038",72.70%,48.50%,-,94.40%,"6,203",0,0,"6,203",287,"6,490","1,322",673
RP6,NHS England London,Moorfields Eye Hospital NHS Foundation Trust,0,"5,192",0,"5,192",0,"5,012",0,"5,012",0,180,0,180,96.50%,-,96.50%,-,0,1,0,1,233,234,0,0
