Code,Region,Name,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total attendances,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances < 4 hours,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances > 4 hours,Percentage in 4 hours or less (all),Percentage in 4 hours or less (type 1),Percentage in 4 hours or less (type 2),Percentage in 4 hours or less (type 3),Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency admissions (i.e not via A&E),Total Emergency Admissions,Number of patients spending >4 hours from decision to admit to admission,Number of patients spending >12 hours from decision to admit to admission
RC9,NHS England East Of England ,Bedfordshire Hospitals NHS Foundation Trust,"15,343",0,"8,945","24,288","9,959",0,"8,945","18,904","5,384",0,0,"5,384",77.80%,64.90%,-,100.00%,"4,819",0,0,"4,819","2,293","7,112",145,65
RGT,NHS England East Of England ,Cambridge University Hospitals NHS Foundation Trust,"10,608",0,"5,035","15,643","5,867",0,"4,938","10,805","4,741",0,97,"4,838",69.10%,55.30%,-,98.10%,"2,519",0,28,"2,547",381,"2,928","1,038",558
RWH,NHS England East Of England ,East And North Hertfordshire Teaching NHS Trust,"8,724",0,"7,403","16,127","3,770",0,"7,315","11,085","4,954",0,88,"5,042",68.70%,43.20%,-,98.80%,"2,085",0,2,"2,087",211,"2,298",710,209
RDE,NHS England East Of England ,East Suffolk And North Essex NHS Foundation Trust,"10,184",0,"11,887","22,071","5,842",0,"10,888","16,730","4,342",0,999,"5,341",75.80%,57.40%,-,91.60%,"4,438",0,0,"4,438",252,"4,690","1,327",559
RY4,NHS England East Of England ,Hertfordshire Community NHS Trust,0,0,"1,021","1,021",0,0,"1,011","1,011",0,0,10,10,99.00%,-,-,99.00%,0,0,0,0,0,0,0,0
DT301,NHS England East Of England ,Herts Urgent Care (Ascots Lane),0,0,"1,792","1,792",0,0,"1,682","1,682",0,0,110,110,93.90%,-,-,93.90%,0,0,0,0,0,0,0,0
RGP,NHS England East Of England ,James Paget University Hospitals NHS Foundation Trust,"6,735",0,"1,474","8,209","4,416",0,"1,474","5,890","2,319",0,0,"2,319",71.80%,65.60%,-,100.00%,"1,497",0,0,"1,497",451,"1,948",855,358
RAJ,NHS England East Of England ,Mid And South Essex NHS Foundation Trust,"24,311",0,"7,274","31,585","13,748",0,"7,005","20,753","10,563",0,269,"10,832",65.70%,56.60%,-,96.30%,"7,794",0,109,"7,903","1,073","8,976","3,380","1,184"
RD8,NHS England East Of England ,Milton Keynes University Hospital NHS Foundation Trust,"8,167",0,"5,300","13,467","4,013",0,"5,174","9,187","4,154",0,126,"4,280",68.20%,49.10%,-,97.60%,"2,082",0,0,"2,082",408,"2,490",607,0
RM1,NHS England East Of England ,Norfolk And Norwich University Hospitals NHS Foundation Trust,"11,506",0,"7,127","18,633","7,884",0,"7,123","15,007","3,622",0,4,"3,626",80.50%,68.50%,-,99.90%,"2,068",0,0,"2,068","1,419","3,487","1,058",410
RGN,NHS England East Of England ,North West Anglia NHS Foundation Trust,"14,419",0,"4,684","19,103","8,366",0,"4,482","12,848","6,053",0,202,"6,255",67.30%,58.00%,-,95.70%,"3,550",0,46,"3,596","1,321","4,917","1,422",921
Y02428,NHS England East Of England ,Putnoe Walk In Centre,0,0,"2,711","2,711",0,0,"2,711","2,711",0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
RQW,NHS England East Of England ,The Princess Alexandra Hospital NHS Trust,"7,845",0,"2,361","10,206","5,782",0,"2,361","8,143","2,063",0,0,"2,063",79.80%,73.70%,-,100.00%,"1,729",0,4,"1,733",302,"2,035",808,286
RCX,NHS England East Of England ,"The Queen Elizabeth Hospital, King's Lynn, NHS Foundation Trust","6,151",0,"1,807","7,958","3,324",0,"1,807","5,131","2,827",0,0,"2,827",64.50%,54.00%,-,100.00%,"1,792",0,0,"1,792",361,"2,153",851,131
RWG,NHS England East Of England ,West Hertfordshire Teaching Hospitals NHS Trust,"7,839",0,"7,340","15,179","5,688",0,"7,237","12,925","2,151",0,103,"2,254",85.20%,72.60%,-,98.60%,"4,313",0,0,"4,313",666,"4,979",515,29
RGR,NHS England East Of England ,West Suffolk NHS Foundation Trust,"7,221",0,874,"8,095","4,644",0,874,"5,518","2,577",0,0,"2,577",68.20%,64.30%,-,100.00%,"1,777",0,0,"1,777",231,"2,008",974,546
G0Q0L,NHS England London,Barking Hospital Utc,0,0,"2,696","2,696",0,0,"2,678","2,678",0,0,18,18,99.30%,-,-,99.30%,0,0,0,0,0,0,0,0
RF4,NHS England London,"Barking, Havering And Redbridge University Hospitals NHS Trust","12,627","2,267","13,122","28,016","7,346","1,892","12,967","22,205","5,281",375,155,"5,811",79.30%,58.20%,83.50%,98.80%,"3,385",0,0,"3,385","1,762","5,147","1,192",628
R1H,NHS England London,Barts Health NHS Trust,"24,013",741,"15,869","40,623","13,894",737,"15,079","29,710","10,119",4,790,"10,913",73.10%,57.90%,99.50%,95.00%,"3,905",0,53,"3,958","1,254","5,212","2,184","1,271"
AD913,NHS England London,Beckenham Beacon Ucc,0,0,"3,261","3,261",0,0,"3,255","3,255",0,0,6,6,99.80%,-,-,99.80%,0,0,0,0,0,0,0,0
RYX,NHS England London,Central London Community Healthcare NHS Trust,0,0,"11,293","11,293",0,0,"11,135","11,135",0,0,158,158,98.60%,-,-,98.60%,0,0,0,0,0,0,0,0
RQM,NHS England London,Chelsea And Westminster Hospital NHS Foundation Trust,"18,805",0,"5,785","24,590","13,735",0,"5,551","19,286","5,070",0,234,"5,304",78.40%,73.00%,-,96.00%,"2,675",0,0,"2,675",394,"3,069",956,43
RJ6,NHS England London,Croydon Health Services NHS Trust,"12,080",0,"4,618","16,698","7,178",0,"4,618","11,796","4,902",0,0,"4,902",70.60%,59.40%,-,100.00%,"1,032",0,0,"1,032",134,"1,166",899,685
RVR,NHS England London,Epsom And St Helier University Hospitals NHS Trust,"10,245",0,"1,883","12,128","7,200",0,"1,782","8,982","3,045",0,101,"3,146",74.10%,70.30%,-,94.60%,"1,848",0,0,"1,848",80,"1,928","1,262",732
RJ1,NHS England London,Guy's And St Thomas' NHS Foundation Trust,"9,456",0,"6,214","15,670","5,779",0,"6,099","11,878","3,677",0,115,"3,792",75.80%,61.10%,-,98.10%,"1,886",0,0,"1,886",247,"2,133",234,67
K6K0R,NHS England London,Harold Wood Polyclinic Utc,0,0,"2,599","2,599",0,0,"2,588","2,588",0,0,11,11,99.60%,-,-,99.60%,0,0,0,0,0,0,0,0
RQX,NHS England London,Homerton Healthcare NHS Foundation Trust,"10,173",0,0,"10,173","8,491",0,0,"8,491","1,682",0,0,"1,682",83.50%,83.50%,-,-,"1,760",0,0,"1,760",331,"2,091",193,19
RYJ,NHS England London,Imperial College Healthcare NHS Trust,"11,379","3,441","6,593","21,413","6,734","3,413","6,348","16,495","4,645",28,245,"4,918",77.00%,59.20%,99.20%,96.30%,"3,165",0,0,"3,165","1,091","4,256",494,0
RJZ,NHS England London,King's College Hospital NHS Foundation Trust,"14,361",0,"8,563","22,924","7,773",0,"7,931","15,704","6,588",0,632,"7,220",68.50%,54.10%,-,92.60%,"3,299",0,0,"3,299",302,"3,601","2,281",833
RAX,NHS England London,Kingston And Richmond NHS Foundation Trust,"6,356",0,"7,221","13,577","2,943",0,"6,958","9,901","3,413",0,263,"3,676",72.90%,46.30%,-,96.40%,"2,210",0,241,"2,451",677,"3,128",694,467
RJ2,NHS England London,Lewisham And Greenwich NHS Trust,"14,807",0,"15,815","30,622","7,182",0,"15,573","22,755","7,625",0,242,"7,867",74.30%,48.50%,-,98.50%,"3,485",0,0,"3,485",484,"3,969","1,723",703
R1K,NHS England London,London North West University Healthcare NHS Trust,"12,235",0,"13,616","25,851","6,021",0,"13,393","19,414","6,214",0,223,"6,437",75.10%,49.20%,-,98.40%,"5,817",0,0,"5,817",282,"6,099",993,374
