Code,Region,Name,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total attendances,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances < 4 hours,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances > 4 hours,Percentage in 4 hours or less (all),Percentage in 4 hours or less (type 1),Percentage in 4 hours or less (type 2),Percentage in 4 hours or less (type 3),Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency admissions (i.e not via A&E),Total Emergency Admissions,Number of patients spending >4 hours from decision to admit to admission,Number of patients spending >12 hours from decision to admit to admission
RC9,NHS England East Of England ,Bedfordshire Hospitals NHS Foundation Trust,"17,269",0,"10,047","27,316","10,535",0,"10,047","20,582","6,734",0,0,"6,734",75.30%,61.00%,-,100.00%,"5,675",0,0,"5,675","2,468","8,143",174,92
RGT,NHS England East Of England ,Cambridge University Hospitals NHS Foundation Trust,"11,513",0,"5,389","16,902","6,210",0,"5,268","11,478","5,303",0,121,"5,424",67.90%,53.90%,-,97.80%,"3,091",0,31,"3,122",425,"3,547","1,267",729
RWH,NHS England East Of England ,East And North Hertfordshire Teaching NHS Trust,"9,586",0,"8,414","18,000","4,004",0,"8,351","12,355","5,582",0,63,"5,645",68.60%,41.80%,-,99.30%,"2,337",0,5,"2,342",281,"2,623","1,032",334
RDE,NHS England East Of England ,East Suffolk And North Essex NHS Foundation Trust,"11,181",0,"13,163","24,344","5,914",0,"12,216","18,130","5,267",0,947,"6,214",74.50%,52.90%,-,92.80%,"4,970",0,0,"4,970",294,"5,264","1,418",744
RY4,NHS England East Of England ,Hertfordshire Community NHS Trust,0,0,"1,040","1,040",0,0,"1,033","1,033",0,0,7,7,99.30%,-,-,99.30%,0,0,0,0,0,0,0,0
DT301,NHS England East Of England ,Herts Urgent Care (Ascots Lane),0,0,"1,941","1,941",0,0,"1,904","1,904",0,0,37,37,98.10%,-,-,98.10%,0,0,0,0,0,0,0,0
RGP,NHS England East Of England ,James Paget University Hospitals NHS Foundation Trust,"7,247",0,"1,792","9,039","4,714",0,"1,792","6,506","2,533",0,0,"2,533",72.00%,65.00%,-,100.00%,"1,674",0,0,"1,674",463,"2,137",994,417
RAJ,NHS England East Of England ,Mid And South Essex NHS Foundation Trust,"26,235",0,"7,495","33,730","14,835",0,"7,004","21,839","11,400",0,491,"11,891",64.70%,56.50%,-,93.40%,"8,341",0,117,"8,458","1,146","9,604","3,588",951
RD8,NHS England East Of England ,Milton Keynes University Hospital NHS Foundation Trust,"8,866",0,"5,881","14,747","4,469",0,"5,717","10,186","4,397",0,164,"4,561",69.10%,50.40%,-,97.20%,"2,295",0,0,"2,295",442,"2,737",935,0
RM1,NHS England East Of England ,Norfolk And Norwich University Hospitals NHS Foundation Trust,"12,503",0,"7,372","19,875","8,248",0,"7,371","15,619","4,255",0,1,"4,256",78.60%,66.00%,-,100.00%,"2,283",0,0,"2,283","1,576","3,859","1,207",555
