Code,Region,Name,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total attendances,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances < 4 hours,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances > 4 hours,Percentage in 4 hours or less (all),Percentage in 4 hours or less (type 1),Percentage in 4 hours or less (type 2),Percentage in 4 hours or less (type 3),Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency admissions (i.e not via A&E),Total Emergency Admissions,Number of patients spending >4 hours from decision to admit to admission,Number of patients spending >12 hours from decision to admit to admission
RC9,NHS England East Of England ,Bedfordshire Hospitals NHS Foundation Trust,"17,502",0,"8,898","26,400","10,392",0,"8,898","19,290","7,110",0,0,"7,110",73.10%,59.40%,-,100.00%,"5,008",0,0,"5,008","2,245","7,253",80,0
RGT,NHS England East Of England ,Cambridge University Hospitals NHS Foundation Trust,"11,381",0,"6,281","17,662","6,900",0,"6,197","13,097","4,481",0,84,"4,565",74.20%,60.60%,-,98.70%,"2,816",0,35,"2,851",539,"3,390",960,389
RWH,NHS England East Of England ,East And North Hertfordshire NHS Trust,"8,873",0,"8,333","17,206","4,993",0,"8,284","13,277","3,880",0,49,"3,929",77.20%,56.30%,-,99.40%,"2,750",0,3,"2,753",245,"2,998",145,21
RDE,NHS England East Of England ,East Suffolk And North Essex NHS Foundation Trust,"13,007",0,"14,272","27,279","6,834",0,"13,788","20,622","6,173",0,484,"6,657",75.60%,52.50%,-,96.60%,"6,224",0,417,"6,641","1,031","7,672","1,305",354
RY4,NHS England East Of England ,Hertfordshire Community NHS Trust,0,0,"1,310","1,310",0,0,"1,231","1,231",0,0,79,79,94.00%,-,-,94.00%,0,0,0,0,0,0,0,0
DT301,NHS England East Of England ,Herts Urgent Care (Ascots Lane),0,0,"2,484","2,484",0,0,"2,353","2,353",0,0,131,131,94.70%,-,-,94.70%,0,0,0,0,0,0,0,0
RGP,NHS England East Of England ,James Paget University Hospitals NHS Foundation Trust,"8,023",0,"1,434","9,457","5,112",0,"1,434","6,546","2,911",0,0,"2,911",69.20%,63.70%,-,100.00%,"1,608",0,0,"1,608",524,"2,132",702,209
RAJ,NHS England East Of England ,Mid And South Essex NHS Foundation Trust,"31,250",0,"4,439","35,689","23,028",0,"4,322","27,350","8,222",0,117,"8,339",76.60%,73.70%,-,97.40%,"9,072",0,192,"9,264","1,295","10,559","2,409",265
RD8,NHS England East Of England ,Milton Keynes University Hospital NHS Foundation Trust,"9,257",0,"5,399","14,656","5,964",0,"5,358","11,322","3,293",0,41,"3,334",77.30%,64.40%,-,99.20%,"2,349",0,0,"2,349",440,"2,789",439,0
RM1,NHS England East Of England ,Norfolk And Norwich University Hospitals NHS Foundation Trust,"13,321",0,"7,752","21,073","9,791",0,"7,752","17,543","3,530",0,0,"3,530",83.20%,73.50%,-,100.00%,"2,403",0,0,"2,403","1,639","4,042",943,149
RGN,NHS England East Of England ,North West Anglia NHS Foundation Trust,"15,239",0,"5,436","20,675","10,315",0,"5,333","15,648","4,924",0,103,"5,027",75.70%,67.70%,-,98.10%,"3,592",0,38,"3,630","1,340","4,970","1,239",672
Y02428,NHS England East Of England ,Putnoe Walk In Centre,0,0,"2,236","2,236",0,0,"2,236","2,236",0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
RQW,NHS England East Of England ,The Princess Alexandra Hospital NHS Trust,"8,719",0,"2,488","11,207","5,256",0,"2,488","7,744","3,463",0,0,"3,463",69.10%,60.30%,-,100.00%,"1,957",0,0,"1,957",320,"2,277",533,142
RCX,NHS England East Of England ,"The Queen Elizabeth Hospital, King's Lynn, NHS Foundation Trust","7,060",0,"1,109","8,169","3,678",0,"1,109","4,787","3,382",0,0,"3,382",58.60%,52.10%,-,100.00%,"1,905",0,0,"1,905",358,"2,263",569,125
RWG,NHS England East Of England ,West Hertfordshire Teaching Hospitals NHS Trust,"8,535",0,"8,344","16,879","5,952",0,"8,289","14,241","2,583",0,55,"2,638",84.40%,69.70%,-,99.30%,"4,399",0,0,"4,399",619,"5,018",769,19
RGR,NHS England East Of England ,West Suffolk NHS Foundation Trust,"8,477",0,684,"9,161","6,129",0,684,"6,813","2,348",0,0,"2,348",74.40%,72.30%,-,100.00%,"2,066",0,0,"2,066",295,"2,361",569,145
G0Q0L,NHS England London,Barking Hospital Utc,0,0,"2,824","2,824",0,0,"2,813","2,813",0,0,11,11,99.60%,-,-,99.60%,0,0,0,0,0,0,0,0
RF4,NHS England London,"Barking, Havering And Redbridge University Hospitals NHS Trust","13,723","2,456","14,448","30,627","8,153","2,092","14,235","24,480","5,570",364,213,"6,147",79.90%,59.40%,85.20%,98.50%,"8,402",0,0,"8,402",361,"8,763","1,216",612
R1H,NHS England London,Barts Health NHS Trust,"25,710","1,042","18,741","45,493","15,043",987,"17,356","33,386","10,667",55,"1,385","12,107",73.40%,58.50%,94.70%,92.60%,"4,242",0,49,"4,291","1,405","5,696","1,979",832
AD913,NHS England London,Beckenham Beacon Ucc,0,0,"3,813","3,813",0,0,"3,727","3,727",0,0,86,86,97.70%,-,-,97.70%,0,0,0,0,0,0,0,0
RYX,NHS England London,Central London Community Healthcare NHS Trust,0,0,"13,325","13,325",0,0,"13,070","13,070",0,0,255,255,98.10%,-,-,98.10%,0,0,0,0,0,0,0,0
RQM,NHS England London,Chelsea And Westminster Hospital NHS Foundation Trust,"20,399",0,"6,197","26,596","14,898",0,"6,125","21,023","5,501",0,72,"5,573",79.00%,73.00%,-,98.80%,"2,831",0,0,"2,831",306,"3,137",805,65
