Code,Region,Name,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total attendances,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances < 4 hours,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances > 4 hours,Percentage in 4 hours or less (all),Percentage in 4 hours or less (type 1),Percentage in 4 hours or less (type 2),Percentage in 4 hours or less (type 3),Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency admissions (i.e not via A&E),Total Emergency Admissions,Number of patients spending >4 hours from decision to admit to admission,Number of patients spending >12 hours from decision to admit to admission
RC9,NHS England East Of England ,Bedfordshire Hospitals NHS Foundation Trust,"16,839",0,"8,434","25,273","10,078",0,"8,434","18,512","6,761",0,0,"6,761",73.20%,59.80%,-,100.00%,"4,698",0,0,"4,698","2,321","7,019",81,0
RGT,NHS England East Of England ,Cambridge University Hospitals NHS Foundation Trust,"11,187",0,"6,355","17,542","6,729",0,"6,214","12,943","4,458",0,141,"4,599",73.80%,60.20%,-,97.80%,"2,906",0,33,"2,939",491,"3,430",755,236
RWH,NHS England East Of England ,East And North Hertfordshire NHS Trust,"8,595",0,"8,439","17,034","4,857",0,"8,330","13,187","3,738",0,109,"3,847",77.40%,56.50%,-,98.70%,"2,818",0,4,"2,822",243,"3,065",104,23
RDE,NHS England East Of England ,East Suffolk And North Essex NHS Foundation Trust,"12,635",0,"14,985","27,620","6,691",0,"14,436","21,127","5,944",0,549,"6,493",76.50%,53.00%,-,96.30%,"6,014",0,396,"6,410","1,041","7,451","1,464",452
RY4,NHS England East Of England ,Hertfordshire Community NHS Trust,0,0,"1,289","1,289",0,0,"1,230","1,230",0,0,59,59,95.40%,-,-,95.40%,0,0,0,0,0,0,0,0
DT301,NHS England East Of England ,Herts Urgent Care (Ascots Lane),0,0,"2,403","2,403",0,0,"2,292","2,292",0,0,111,111,95.40%,-,-,95.40%,0,0,0,0,0,0,0,0
RGP,NHS England East Of England ,James Paget University Hospitals NHS Foundation Trust,"7,615",0,"1,279","8,894","4,634",0,"1,279","5,913","2,981",0,0,"2,981",66.50%,60.90%,-,100.00%,"1,528",0,0,"1,528",499,"2,027",705,202
RAJ,NHS England East Of England ,Mid And South Essex NHS Foundation Trust,"30,472",0,"3,902","34,374","22,129",0,"3,782","25,911","8,343",0,120,"8,463",75.40%,72.60%,-,96.90%,"8,598",0,173,"8,771","1,339","10,110","2,342",165
RD8,NHS England East Of England ,Milton Keynes University Hospital NHS Foundation Trust,"9,087",0,"5,128","14,215","5,720",0,"5,118","10,838","3,367",0,10,"3,377",76.20%,62.90%,-,99.80%,"2,112",0,0,"2,112",383,"2,495",647,0
RM1,NHS England East Of England ,Norfolk And Norwich University Hospitals NHS Foundation Trust,"13,020",0,"7,591","20,611","8,918",0,"7,578","16,496","4,102",0,13,"4,115",80.00%,68.50%,-,99.80%,"2,403",0,0,"2,403","1,566","3,969","1,185",248
RGN,NHS England East Of England ,North West Anglia NHS Foundation Trust,"14,895",0,"5,159","20,054","9,502",0,"4,969","14,471","5,393",0,190,"5,583",72.20%,63.80%,-,96.30%,"3,491",0,31,"3,522","1,417","4,939","1,162",519
Y02428,NHS England East Of England ,Putnoe Walk In Centre,0,0,"2,269","2,269",0,0,"2,269","2,269",0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
RQW,NHS England East Of England ,The Princess Alexandra Hospital NHS Trust,"8,513",0,"2,460","10,973","5,029",0,"2,460","7,489","3,484",0,0,"3,484",68.20%,59.10%,-,100.00%,"1,903",0,0,"1,903",278,"2,181",443,99
RCX,NHS England East Of England ,"The Queen Elizabeth Hospital, King's Lynn, NHS Foundation Trust","6,635",0,"1,176","7,811","3,668",0,"1,176","4,844","2,967",0,0,"2,967",62.00%,55.30%,-,100.00%,"1,816",0,0,"1,816",327,"2,143",853,95
