Code,Region,Name,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total attendances,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances < 4 hours,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances > 4 hours,Percentage in 4 hours or less (all),Percentage in 4 hours or less (type 1),Percentage in 4 hours or less (type 2),Percentage in 4 hours or less (type 3),Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency admissions (i.e not via A&E),Total Emergency Admissions,Number of patients spending >4 hours from decision to admit to admission,Number of patients spending >12 hours from decision to admit to admission
RC9,NHS England East Of England ,Bedfordshire Hospitals NHS Foundation Trust,"17,712",0,"9,389","27,101","12,286",0,"9,389","21,675","5,426",0,0,"5,426",80.00%,69.40%,-,100.00%,"5,351",0,0,"5,351","2,484","7,835",95,15
RGT,NHS England East Of England ,Cambridge University Hospitals NHS Foundation Trust,"12,038",0,"5,929","17,967","7,034",0,"5,810","12,844","5,004",0,119,"5,123",71.50%,58.40%,-,98.00%,"2,987",0,36,"3,023",452,"3,475",962,404
RWH,NHS England East Of England ,East And North Hertfordshire Teaching NHS Trust,"9,208",0,"9,068","18,276","4,686",0,"8,971","13,657","4,522",0,97,"4,619",74.70%,50.90%,-,98.90%,"2,396",0,2,"2,398",283,"2,681",370,65
RDE,NHS England East Of England ,East Suffolk And North Essex NHS Foundation Trust,"11,646",0,"13,538","25,184","6,626",0,"12,694","19,320","5,020",0,844,"5,864",76.70%,56.90%,-,93.80%,"5,276",0,1,"5,277",294,"5,571","1,431",548
RY4,NHS England East Of England ,Hertfordshire Community NHS Trust,0,0,"1,223","1,223",0,0,"1,185","1,185",0,0,38,38,96.90%,-,-,96.90%,0,0,0,0,0,0,0,0
DT301,NHS England East Of England ,Herts Urgent Care (Ascots Lane),0,0,"2,144","2,144",0,0,"2,034","2,034",0,0,110,110,94.90%,-,-,94.90%,0,0,0,0,0,0,0,0
RGP,NHS England East Of England ,James Paget University Hospitals NHS Foundation Trust,"7,717",0,"1,655","9,372","5,039",0,"1,655","6,694","2,678",0,0,"2,678",71.40%,65.30%,-,100.00%,"1,586",0,0,"1,586",530,"2,116",906,427
RAJ,NHS England East Of England ,Mid And South Essex NHS Foundation Trust,"28,524",0,"8,415","36,939","17,065",0,"8,072","25,137","11,459",0,343,"11,802",68.10%,59.80%,-,95.90%,"8,908",0,125,"9,033","1,270","10,303","3,130",793
RD8,NHS England East Of England ,Milton Keynes University Hospital NHS Foundation Trust,"9,104",0,"5,943","15,047","6,089",0,"5,850","11,939","3,015",0,93,"3,108",79.30%,66.90%,-,98.40%,"2,603",0,0,"2,603",454,"3,057",603,0
RM1,NHS England East Of England ,Norfolk And Norwich University Hospitals NHS Foundation Trust,"13,490",0,"7,873","21,363","9,864",0,"7,862","17,726","3,626",0,11,"3,637",83.00%,73.10%,-,99.90%,"2,256",0,0,"2,256","1,575","3,831",864,261
