Code,Region,Name,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total attendances,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances < 4 hours,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances > 4 hours,Percentage in 4 hours or less (all),Percentage in 4 hours or less (type 1),Percentage in 4 hours or less (type 2),Percentage in 4 hours or less (type 3),Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency admissions (i.e not via A&E),Total Emergency Admissions,Number of patients spending >4 hours from decision to admit to admission,Number of patients spending >12 hours from decision to admit to admission
RC9,NHS England East Of England ,Bedfordshire Hospitals NHS Foundation Trust,"16,670",0,"9,034","25,704","10,496",0,"9,034","19,530","6,174",0,0,"6,174",76.00%,63.00%,-,100.00%,"4,772",0,0,"4,772","2,379","7,151",87,5
RGT,NHS England East Of England ,Cambridge University Hospitals NHS Foundation Trust,"11,090",0,"6,316","17,406","6,466",0,"6,216","12,682","4,624",0,100,"4,724",72.90%,58.30%,-,98.40%,"2,926",0,32,"2,958",466,"3,424",796,207
RWH,NHS England East Of England ,East And North Hertfordshire NHS Trust,"8,815",0,"8,659","17,474","4,401",0,"8,573","12,974","4,414",0,86,"4,500",74.20%,49.90%,-,99.00%,"2,828",0,8,"2,836",216,"3,052",352,132
RDE,NHS England East Of England ,East Suffolk And North Essex NHS Foundation Trust,"13,222",0,"15,131","28,353","7,377",0,"14,729","22,106","5,845",0,402,"6,247",78.00%,55.80%,-,97.30%,"6,163",0,369,"6,532","1,042","7,574","1,463",470
RY4,NHS England East Of England ,Hertfordshire Community NHS Trust,0,0,"1,194","1,194",0,0,"1,103","1,103",0,0,91,91,92.40%,-,-,92.40%,0,0,0,0,0,0,0,0
DT301,NHS England East Of England ,Herts Urgent Care (Ascots Lane),0,0,"2,378","2,378",0,0,"2,341","2,341",0,0,37,37,98.40%,-,-,98.40%,0,0,0,0,0,0,0,0
RGP,NHS England East Of England ,James Paget University Hospitals NHS Foundation Trust,"7,796",0,"1,263","9,059","4,851",0,"1,263","6,114","2,945",0,0,"2,945",67.50%,62.20%,-,100.00%,"1,665",0,0,"1,665",536,"2,201",779,205
RAJ,NHS England East Of England ,Mid And South Essex NHS Foundation Trust,"31,037",0,"4,065","35,102","20,794",0,"3,957","24,751","10,243",0,108,"10,351",70.50%,67.00%,-,97.30%,"8,299",0,135,"8,434","1,349","9,783","3,044",378
RD8,NHS England East Of England ,Milton Keynes University Hospital NHS Foundation Trust,"8,952",0,"5,087","14,039","5,603",0,"5,069","10,672","3,349",0,18,"3,367",76.00%,62.60%,-,99.60%,"2,273",0,0,"2,273",417,"2,690",726,0
RM1,NHS England East Of England ,Norfolk And Norwich University Hospitals NHS Foundation Trust,"13,181",0,"7,869","21,050","9,267",0,"7,863","17,130","3,914",0,6,"3,920",81.40%,70.30%,-,99.90%,"2,585",0,0,"2,585","1,565","4,150","1,109",198
