Code,Region,Name,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total attendances,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances < 4 hours,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances > 4 hours,Percentage in 4 hours or less (all),Percentage in 4 hours or less (type 1),Percentage in 4 hours or less (type 2),Percentage in 4 hours or less (type 3),Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency admissions (i.e not via A&E),Total Emergency Admissions,Number of patients spending >4 hours from decision to admit to admission,Number of patients spending >12 hours from decision to admit to admission
RC9,NHS England East Of England ,Bedfordshire Hospitals NHS Foundation Trust,"17,038",0,"9,909","26,947","10,483",0,"9,909","20,392","6,555",0,0,"6,555",75.70%,61.50%,-,100.00%,"5,154",0,0,"5,154","2,210","7,364",93,13
RGT,NHS England East Of England ,Cambridge University Hospitals NHS Foundation Trust,"11,399",0,"5,221","16,620","6,784",0,"5,152","11,936","4,615",0,69,"4,684",71.80%,59.50%,-,98.70%,"2,743",0,27,"2,770",390,"3,160","1,037",491
RWH,NHS England East Of England ,East And North Hertfordshire Teaching NHS Trust,"9,292",0,"8,274","17,566","4,754",0,"8,234","12,988","4,538",0,40,"4,578",73.90%,51.20%,-,99.50%,"2,297",0,1,"2,298",216,"2,514",659,185
RDE,NHS England East Of England ,East Suffolk And North Essex NHS Foundation Trust,"10,929",0,"13,304","24,233","5,875",0,"11,891","17,766","5,054",0,"1,413","6,467",73.30%,53.80%,-,89.40%,"4,745",0,0,"4,745",337,"5,082","1,231",461
RY4,NHS England East Of England ,Hertfordshire Community NHS Trust,0,0,"1,062","1,062",0,0,"1,037","1,037",0,0,25,25,97.60%,-,-,97.60%,0,0,0,0,0,0,0,0
DT301,NHS England East Of England ,Herts Urgent Care (Ascots Lane),0,0,"1,934","1,934",0,0,"1,873","1,873",0,0,61,61,96.80%,-,-,96.80%,0,0,0,0,0,0,0,0
RGP,NHS England East Of England ,James Paget University Hospitals NHS Foundation Trust,"6,933",0,"1,223","8,156","4,789",0,"1,223","6,012","2,144",0,0,"2,144",73.70%,69.10%,-,100.00%,"1,572",0,0,"1,572",618,"2,190",767,342
RAJ,NHS England East Of England ,Mid And South Essex NHS Foundation Trust,"27,782",0,"7,664","35,446","17,264",0,"7,329","24,593","10,518",0,335,"10,853",69.40%,62.10%,-,95.60%,"8,705",0,113,"8,818","1,021","9,839","3,174",869
RD8,NHS England East Of England ,Milton Keynes University Hospital NHS Foundation Trust,"8,867",0,"5,775","14,642","4,882",0,"5,673","10,555","3,985",0,102,"4,087",72.10%,55.10%,-,98.20%,"2,138",0,0,"2,138",424,"2,562",859,0
RM1,NHS England East Of England ,Norfolk And Norwich University Hospitals NHS Foundation Trust,"12,411",0,"7,276","19,687","8,566",0,"7,274","15,840","3,845",0,2,"3,847",80.50%,69.00%,-,100.00%,"2,191",0,0,"2,191","1,518","3,709",932,236
