Code,Region,Name,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total attendances,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances < 4 hours,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances > 4 hours,Percentage in 4 hours or less (all),Percentage in 4 hours or less (type 1),Percentage in 4 hours or less (type 2),Percentage in 4 hours or less (type 3),Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency admissions (i.e not via A&E),Total Emergency Admissions,Number of patients spending >4 hours from decision to admit to admission,Number of patients spending >12 hours from decision to admit to admission
RC9,NHS England East Of England ,Bedfordshire Hospitals NHS Foundation Trust,"17,663",0,"9,441","27,104","10,499",0,"9,441","19,940","7,164",0,0,"7,164",73.60%,59.40%,-,100.00%,"5,227",0,0,"5,227","2,396","7,623",122,40
RGT,NHS England East Of England ,Cambridge University Hospitals NHS Foundation Trust,"11,607",0,"5,630","17,237","6,882",0,"5,580","12,462","4,725",0,50,"4,775",72.30%,59.30%,-,99.10%,"2,744",0,28,"2,772",463,"3,235","1,114",568
RWH,NHS England East Of England ,East And North Hertfordshire Teaching NHS Trust,"9,294",0,"8,403","17,697","4,720",0,"8,376","13,096","4,574",0,27,"4,601",74.00%,50.80%,-,99.70%,"2,494",0,1,"2,495",216,"2,711",717,172
RDE,NHS England East Of England ,East Suffolk And North Essex NHS Foundation Trust,"11,567",0,"13,288","24,855","5,357",0,"12,075","17,432","6,210",0,"1,213","7,423",70.10%,46.30%,-,90.90%,"4,654",0,4,"4,658",452,"5,110","1,375",556
RY4,NHS England East Of England ,Hertfordshire Community NHS Trust,0,0,"1,205","1,205",0,0,"1,142","1,142",0,0,63,63,94.80%,-,-,94.80%,0,0,0,0,0,0,0,0
DT301,NHS England East Of England ,Herts Urgent Care (Ascots Lane),0,0,"2,189","2,189",0,0,"2,089","2,089",0,0,100,100,95.40%,-,-,95.40%,0,0,0,0,0,0,0,0
RGP,NHS England East Of England ,James Paget University Hospitals NHS Foundation Trust,"7,429",0,"1,286","8,715","4,887",0,"1,286","6,173","2,542",0,0,"2,542",70.80%,65.80%,-,100.00%,"1,596",0,0,"1,596",572,"2,168",882,363
RAJ,NHS England East Of England ,Mid And South Essex NHS Foundation Trust,"27,691",0,"7,669","35,360","18,505",0,"7,539","26,044","9,186",0,130,"9,316",73.70%,66.80%,-,98.30%,"9,196",0,151,"9,347","1,283","10,630","3,003",610
RD8,NHS England East Of England ,Milton Keynes University Hospital NHS Foundation Trust,"9,220",0,"5,478","14,698","5,377",0,"5,435","10,812","3,843",0,43,"3,886",73.60%,58.30%,-,99.20%,"2,367",0,0,"2,367",485,"2,852",706,0
RM1,NHS England East Of England ,Norfolk And Norwich University Hospitals NHS Foundation Trust,"12,942",0,"7,670","20,612","8,817",0,"7,669","16,486","4,125",0,1,"4,126",80.00%,68.10%,-,100.00%,"2,378",0,0,"2,378","1,600","3,978",956,215
