Code,Region,Name,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total attendances,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances < 4 hours,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances > 4 hours,Percentage in 4 hours or less (all),Percentage in 4 hours or less (type 1),Percentage in 4 hours or less (type 2),Percentage in 4 hours or less (type 3),Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency admissions (i.e not via A&E),Total Emergency Admissions,Number of patients spending >4 hours from decision to admit to admission,Number of patients spending >12 hours from decision to admit to admission
RC9,NHS England East Of England ,Bedfordshire Hospitals NHS Foundation Trust,"16,618",0,"8,806","25,424","10,494",0,"8,806","19,300","6,124",0,0,"6,124",75.90%,63.10%,-,100.00%,"4,841",0,0,"4,841","2,158","6,999",82,2
RGT,NHS England East Of England ,Cambridge University Hospitals NHS Foundation Trust,"11,212",0,"5,753","16,965","6,547",0,"5,691","12,238","4,665",0,62,"4,727",72.10%,58.40%,-,98.90%,"2,909",0,17,"2,926",465,"3,391","1,076",428
RWH,NHS England East Of England ,East And North Hertfordshire Teaching NHS Trust,"8,702",0,"8,295","16,997","4,666",0,"8,194","12,860","4,036",0,101,"4,137",75.70%,53.60%,-,98.80%,"2,369",0,2,"2,371",206,"2,577",447,96
RDE,NHS England East Of England ,East Suffolk And North Essex NHS Foundation Trust,"12,269",0,"13,382","25,651","5,625",0,"12,684","18,309","6,644",0,698,"7,342",71.40%,45.80%,-,94.80%,"6,254",0,344,"6,598","1,002","7,600","1,670",597
RY4,NHS England East Of England ,Hertfordshire Community NHS Trust,0,0,"1,169","1,169",0,0,"1,102","1,102",0,0,67,67,94.30%,-,-,94.30%,0,0,0,0,0,0,0,0
DT301,NHS England East Of England ,Herts Urgent Care (Ascots Lane),0,0,"2,249","2,249",0,0,"2,042","2,042",0,0,207,207,90.80%,-,-,90.80%,0,0,0,0,0,0,0,0
RGP,NHS England East Of England ,James Paget University Hospitals NHS Foundation Trust,"7,390",0,"1,352","8,742","4,761",0,"1,352","6,113","2,629",0,0,"2,629",69.90%,64.40%,-,100.00%,"1,454",0,0,"1,454",523,"1,977",874,381
RAJ,NHS England East Of England ,Mid And South Essex NHS Foundation Trust,"30,205",0,"4,085","34,290","21,484",0,"3,963","25,447","8,721",0,122,"8,843",74.20%,71.10%,-,97.00%,"8,682",0,163,"8,845","1,141","9,986","2,507",483
RD8,NHS England East Of England ,Milton Keynes University Hospital NHS Foundation Trust,"8,983",0,"4,912","13,895","5,355",0,"4,886","10,241","3,628",0,26,"3,654",73.70%,59.60%,-,99.50%,"2,220",0,0,"2,220",349,"2,569",563,0
RM1,NHS England East Of England ,Norfolk And Norwich University Hospitals NHS Foundation Trust,"12,782",0,"7,275","20,057","8,858",0,"7,270","16,128","3,924",0,5,"3,929",80.40%,69.30%,-,99.90%,"2,336",0,0,"2,336","1,501","3,837",761,145
RGN,NHS England East Of England ,North West Anglia NHS Foundation Trust,"15,276",0,"5,345","20,621","9,411",0,"5,148","14,559","5,865",0,197,"6,062",70.60%,61.60%,-,96.30%,"3,643",0,32,"3,675","1,322","4,997","1,340",689
Y02428,NHS England East Of England ,Putnoe Walk In Centre,0,0,"2,266","2,266",0,0,"2,266","2,266",0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
RQW,NHS England East Of England ,The Princess Alexandra Hospital NHS Trust,"8,343",0,"2,576","10,919","6,156",0,"2,576","8,732","2,187",0,0,"2,187",80.00%,73.80%,-,100.00%,"1,901",0,0,"1,901",279,"2,180",826,279
RCX,NHS England East Of England ,"The Queen Elizabeth Hospital, King's Lynn, NHS Foundation Trust","6,525",0,"1,242","7,767","3,668",0,"1,242","4,910","2,857",0,0,"2,857",63.20%,56.20%,-,100.00%,"1,770",0,0,"1,770",319,"2,089",773,153
RWG,NHS England East Of England ,West Hertfordshire Teaching Hospitals NHS Trust,"7,950",0,"8,488","16,438","5,523",0,"8,384","13,907","2,427",0,104,"2,531",84.60%,69.50%,-,98.80%,"4,055",0,0,"4,055",775,"4,830",653,26
