Code,Name,ICB Code,ICB Name,Region Name
RC9,Bedfordshire Hospitals NHS Foundation Trust,QHG,"NHS Bedfordshire, Luton And Milton Keynes Integrated Care Board",East of England Commissioning Region
RD8,Milton Keynes University Hospital NHS Foundation Trust,QHG,"NHS Bedfordshire, Luton And Milton Keynes Integrated Care Board",East of England Commissioning Region
Y02428,Putnoe Medical Centre Walk In Centre,QHG,"NHS Bedfordshire, Luton And Milton Keynes Integrated Care Board",East of England Commissioning Region
RGT,Cambridge University Hospitals NHS Foundation Trust,QUE,NHS Cambridgeshire And Peterborough Integrated Care Board,East of England Commissioning Region
RGN,North West Anglia NHS Foundation Trust,QUE,NHS Cambridgeshire And Peterborough Integrated Care Board,East of England Commissioning Region
RWH,East And North Hertfordshire NHS Trust,QM7,NHS Hertfordshire And West Essex Integrated Care Board,East of England Commissioning Region
RY4,Hertfordshire Community NHS Trust,QM7,NHS Hertfordshire And West Essex Integrated Care Board,East of England Commissioning Region
DT301,Herts Urgent Care (Ascots Lane),QM7,NHS Hertfordshire And West Essex Integrated Care Board,East of England Commissioning Region
RQW,The Princess Alexandra Hospital NHS Trust,QM7,NHS Hertfordshire And West Essex Integrated Care Board,East of England Commissioning Region
RWG,West Hertfordshire Teaching Hospitals NHS Trust,QM7,NHS Hertfordshire And West Essex Integrated Care Board,East of England Commissioning Region
RAJ,Mid And South Essex NHS Foundation Trust,QH8,NHS Mid And South Essex Integrated Care Board,East of England Commissioning Region
RGP,James Paget University Hospitals NHS Foundation Trust,QMM,NHS Norfolk And Waveney Integrated Care Board,East of England Commissioning Region
RM1,Norfolk And Norwich University Hospitals NHS Foundation Trust,QMM,NHS Norfolk And Waveney Integrated Care Board,East of England Commissioning Region
RCX,"The Queen Elizabeth Hospital, King's Lynn, NHS Foundation Trust",QMM,NHS Norfolk And Waveney Integrated Care Board,East of England Commissioning Region
RDE,East Suffolk And North Essex NHS Foundation Trust,QJG,NHS Suffolk And North East Essex Integrated Care Board,East of England Commissioning Region
RGR,West Suffolk NHS Foundation Trust,QJG,NHS Suffolk And North East Essex Integrated Care Board,East of England Commissioning Region
RP6,Moorfields Eye Hospital NHS Foundation Trust,QMJ,NHS North Central London Integrated Care Board,London Commissioning Region
RAL,Royal Free London NHS Foundation Trust,QMJ,NHS North Central London Integrated Care Board,London Commissioning Region
RAN,Royal National Orthopaedic Hospital NHS Trust,QMJ,NHS North Central London Integrated Care Board,London Commissioning Region
RKE,Whittington Health NHS Trust,QMJ,NHS North Central London Integrated Care Board,London Commissioning Region
RRV,University College London Hospitals NHS Foundation Trust,QMJ,NHS North Central London Integrated Care Board,London Commissioning Region
RF4,"Barking, Havering And Redbridge University Hospitals NHS Trust",QMF,NHS North East London Integrated Care Board,London Commissioning Region
G0Q0L,Barking Hospital UTC,QMF,NHS North East London Integrated Care Board,London Commissioning Region
K6K0R,Harold Wood Polyclinic UTC,QMF,NHS North East London Integrated Care Board,London Commissioning Region
R1H,Barts Health NHS Trust,QMF,NHS North East London Integrated Care Board,London Commissioning Region
RQX,Homerton Healthcare NHS Foundation Trust,QMF,NHS North East London Integrated Care Board,London Commissioning Region
RAT,North East London NHS Foundation Trust,QMF,NHS North East London Integrated Care Board,London Commissioning Region
RYX,Central London Community Healthcare NHS Trust,QRV,NHS North West London Integrated Care Board,London Commissioning Region
RQM,Chelsea And Westminster Hospital NHS Foundation Trust,QRV,NHS North West London Integrated Care Board,London Commissioning Region
RYJ,Imperial College Healthcare NHS Trust,QRV,NHS North West London Integrated Care Board,London Commissioning Region
R1K,London North West University Healthcare NHS Trust,QRV,NHS North West London Integrated Care Board,London Commissioning Region
RAS,The Hillingdon Hospitals NHS Foundation Trust,QRV,NHS North West London Integrated Care Board,London Commissioning Region
Y03218,The Pinn Unregistered Wic,QRV,NHS North West London Integrated Care Board,London Commissioning Region
AD913,Beckenham Beacon Ucc,QKK,NHS South East London Integrated Care Board,London Commissioning Region
RJ1,Guy's And St Thomas' NHS Foundation Trust,QKK,NHS South East London Integrated Care Board,London Commissioning Region
RJZ,King's College Hospital NHS Foundation Trust,QKK,NHS South East London Integrated Care Board,London Commissioning Region
RJ2,Lewisham And Greenwich NHS Trust,QKK,NHS South East London Integrated Care Board,London Commissioning Region
RJ6,Croydon Health Services NHS Trust,QWE,NHS South West London Integrated Care Board,London Commissioning Region
RVR,Epsom And St Helier University Hospitals NHS Trust,QWE,NHS South West London Integrated Care Board,London Commissioning Region
RY9,Hounslow And Richmond Community Healthcare NHS Trust,QWE,NHS South West London Integrated Care Board,London Commissioning Region
RAX,Kingston and Richmond NHS Foundation Trust,QWE,NHS South West London Integrated Care Board,London Commissioning Region
RJ7,St George's University Hospitals NHS Foundation Trust,QWE,NHS South West London Integrated Care Board,London Commissioning Region
NL7,Assura Vertis Urgent Care Centres (Birmingham),QHL,NHS Birmingham And Solihull Integrated Care Board,Midlands Commissioning Region
8J094,Badger Ltd,QHL,NHS Birmingham And Solihull Integrated Care Board,Midlands Commissioning Region
RQ3,Birmingham Women's And Children's NHS Foundation Trust,QHL,NHS Birmingham And Solihull Integrated Care Board,Midlands Commissioning Region
Y03007,Erdington GP Health & Wellbeing Wic,QHL,NHS Birmingham And Solihull Integrated Care Board,Midlands Commissioning Region
Y02615,South Birmingham GP Walk In Centre,QHL,NHS Birmingham And Solihull Integrated Care Board,Midlands Commissioning Region
RRK,University Hospitals Birmingham NHS Foundation Trust,QHL,NHS Birmingham And Solihull Integrated Care Board,Midlands Commissioning Region
RXK,Sandwell And West Birmingham Hospitals NHS Trust,QUA,NHS Black Country Integrated Care Board,Midlands Commissioning Region
NQTE4,Summerfield Urgent Care Centre,QUA,NHS Black Country Integrated Care Board,Midlands Commissioning Region
RNA,The Dudley Group NHS Foundation Trust,QUA,NHS Black Country Integrated Care Board,Midlands Commissioning Region
RL4,The Royal Wolverhampton NHS Trust,QUA,NHS Black Country Integrated Care Board,Midlands Commissioning Region
RBK,Walsall Healthcare NHS Trust,QUA,NHS Black Country Integrated Care Board,Midlands Commissioning Region
RYG,Coventry and Warwickshire Partnership NHS Trust,QWU,NHS Coventry And Warwickshire Integrated Care Board,Midlands Commissioning Region
RLT,George Eliot Hospital NHS Trust,QWU,NHS Coventry And Warwickshire Integrated Care Board,Midlands Commissioning Region
RJC,South Warwickshire University NHS Foundation Trust,QWU,NHS Coventry And Warwickshire Integrated Care Board,Midlands Commissioning Region
